section,id,experiment,file,run_id,wandb_url,lineage_parent,variant,val_metric_name,val_metric,val_action_metric,net_stock_lcb,net_damage_lcb,closed_loop_source,boots,matches,crashes,total_params,policy_params,model_context,effective_batch,update_steps,samples,train_pf_6nt,replan_p50_ms,replan_p95_ms,control,hyperparam_or_flops_mismatch
representations,R1,018,experiments/018_bpe_rle.py,xgj1dwot,https://wandb.ai/ericyuegu/hal/runs/xgj1dwot,016,BPE/RLE action tokens,val/loss,1.4059048891067505,button_change_f1=0.44334871082245586,-3.5838245645672253,-169.77282782315314,W&B standard field; old protocol,,52,crash_fraction=0.5772357723577236,7747151,7747151,d256-L8-h4-context256-variable_span16,512,16384,8388608,99.821,,,M1.3,representation+params+PF+execution cadence
representations,R2,001,experiments/001_flow_matching_baseline.py,xummemli,https://wandb.ai/ericyuegu/hal/runs/xummemli,,continuous flow 16-frame chunk,val/loss,0.05208539742751409,button_f1=0.4892703862660944;button_acc=0.9602231019295302,,,W&B old eval; no CI,,,0,4993844,4993844,d256-L6-h8-context256-plus16queries,512,131072,67108864,546.934,,,no matched control,architecture+loss+action format+horizon+updates+PF
representations,R3.1,028,experiments/028_onehot_controller.py,1zzstd2d,https://wandb.ai/ericyuegu/hal/runs/1zzstd2d,026,256-button one-hot input,val/primary_nll,1.1443702183749924,change_f1=0.23391813039779663;exact=0.6089205741882324;dense4=0.5067114233970642,-0.22972080997234207,6.112870729278355,local eval_replays/metrics.json,96,99,0,15218143,15218143,d384-L8-h6-context128-temporal128x2-exec4,1024,16384,16777216,196.084,8.828627527691424,10.69707196438685,M2.2,one-hot+2x data+1.1% params+102.2% PF
representations,R3.2,028,experiments/028_onehot_controller.py,4wyxy1g2,https://wandb.ai/ericyuegu/hal/runs/4wyxy1g2,028-full,52-button pruned one-hot input,val/primary_nll,1.1427968221785332,change_f1=0.23744645714759827;exact=0.6072427034378052;dense4=0.505033552646637,-0.1978652021604248,-1.9239110863318096,local eval_replays/metrics.json,96,100,0,14982931,14982931,d384-L8-h6-context128-temporal128x2-exec4,1024,16384,16777216,193.054,9.213201934471726,10.486138053238392,R3.1,btn_min_count 0 to 100; params/PF -1.55%
representations,R4,029,experiments/029_game_state_flow.py,qxcjjwl8,https://wandb.ai/ericyuegu/hal/runs/qxcjjwl8,026,training-only future-state expert,val/action_primary_nll,1.1475809410062912,change_f1=0.22275258600711825;exact=0.6019295454025269;dense4=0.5008389353752136,-0.025142588413554903,16.442588937791378,W&B and R2 final match,96,101,0,16307099,15053039,026_actor_plus_state_expert-context128-exec4,1024,16384,16777216,210.115,17.55992050129862,19.866226150588773,M2.2,2x data+8.3% total params+116.7% PF+backend+auxiliary loss
representations,R5,021,experiments/021_v6_features.py,pu8jpmbf,https://wandb.ai/ericyuegu/hal/runs/pu8jpmbf,016,v6 lean state features,val/loss,1.0497923338343105,recon_f1=0.9005235602094241;recon_acc=0.992030201342282;change_f1=0.449505,-1.081300380647911,-5.1885565414365935,W&B standard field; old protocol,,136,0,6814648,6814648,d256-L8-h4-context256-offsets1-5-9-13,512,16384,8388608,87.806,,,M1.3,state schema/features+0.43% params/PF
independent_mtp,M1.1a,012,experiments/012_multi_token.py,uw05bvm2,https://wandb.ai/ericyuegu/hal/runs/uw05bvm2,011,windows_per_replay=4,val/loss,1.0413520272692416,legacy_recon_aggregation_invalid,-1.073385760950096,16.57822493277091,W&B standard field; old protocol,,,0,6785714,6785714,d256-L8-h4-context256-offsets1-5-9-13,1024,16384,16777216,174.867,,,M1.1b,only replay-window setting; params/batch/steps/samples/PF match
independent_mtp,M1.1b,012,experiments/012_multi_token.py,shjnxxsu,https://wandb.ai/ericyuegu/hal/runs/shjnxxsu,011,pre-window-packing,val/loss,1.0402972576715,legacy_recon_aggregation_invalid,-0.3451082378004213,10.35018703413566,W&B standard field; old protocol,,,0,6785714,6785714,d256-L8-h4-context256-offsets1-5-9-13,1024,16384,16777216,174.867,,,M1.1a,only replay-window setting; params/batch/steps/samples/PF match
independent_mtp,M1.2a,013,experiments/013_multi_token.py,1z6oyio7,https://wandb.ai/ericyuegu/hal/runs/1z6oyio7,012,offsets1-2-3-4,val/loss,0.9967836692027244,recon_f1=0.9032258064516128;recon_acc=0.9924496644295302;change_f1=0.492075,-0.7765950630567999,1.3739459831932184,W&B standard field; old protocol,,120,0,6785714,6785714,d256-L8-h4-context256,256,32768,8388608,87.433,,,M1.2b,offsets and aux_loss_weight both change
independent_mtp,M1.2b,013,experiments/013_multi_token.py,m5e1kj7w,https://wandb.ai/ericyuegu/hal/runs/m5e1kj7w,012,offsets1-5-9-13,val/loss,1.0482478436382368,recon_f1=0.8958051420838972;recon_acc=0.9919253355704698;change_f1=0.450476,-0.7308341894026511,5.385297381366728,W&B standard field; old protocol,,120,0,6785714,6785714,d256-L8-h4-context256,256,32768,8388608,87.433,,,M1.2a|M1.3,vs dense offsets+aux weight; vs016 batch half/updates double at same samples/PF
